# Ice refractive index from Warren (1984) Optical constants of ice
# from the ultraviolet to the microwave, Appl. Optics, 23,
# 11,906-11,926, 1984.
#
# Wavelength (microns) 	 real  imaginary
   3.39000e+00   1.51140e+00   4.22000e-02
   3.41300e+00   1.49730e+00   3.42000e-02
   3.43600e+00   1.48450e+00   2.74000e-02
   3.46000e+00   1.47210e+00   2.20000e-02
   3.48400e+00   1.46120e+00   1.86000e-02
   3.50900e+00   1.45130e+00   1.52000e-02
   3.53400e+00   1.44210e+00   1.26000e-02
   3.55900e+00   1.43370e+00   1.06000e-02
   3.62400e+00   1.41550e+00   8.02000e-03
   3.73200e+00   1.39420e+00   6.85000e-03
   3.77500e+00   1.38730e+00   6.60000e-03
   3.84700e+00   1.37730e+00   6.96000e-03
   3.96900e+00   1.36450e+00   9.16000e-03
   4.09900e+00   1.35410e+00   1.11000e-02
   4.23900e+00   1.34460e+00   1.45000e-02
   4.34800e+00   1.33880e+00   2.00000e-02
   4.38700e+00   1.33810e+00   2.30000e-02
   4.44400e+00   1.33850e+00   2.60000e-02
   4.50500e+00   1.34050e+00   2.90000e-02
   4.54700e+00   1.34290e+00   2.93000e-02
   4.56000e+00   1.34420e+00   3.00000e-02
   4.58000e+00   1.34630e+00   2.85000e-02
   4.71900e+00   1.34420e+00   1.73000e-02
   4.90400e+00   1.33450e+00   1.29000e-02
   5.00000e+00   1.32900e+00   1.20000e-02
   5.10000e+00   1.32330e+00   1.25000e-02
   5.20000e+00   1.31800e+00   1.34000e-02
   5.26300e+00   1.31430e+00   1.40000e-02
   5.40000e+00   1.30620e+00   1.75000e-02
   5.55600e+00   1.29720e+00   2.40000e-02
   5.71400e+00   1.28900e+00   3.50000e-02
   5.74700e+00   1.28730e+00   3.80000e-02
   5.78000e+00   1.28600e+00   4.20000e-02
   5.81400e+00   1.28510e+00   4.60000e-02
   5.84800e+00   1.28540e+00   5.20000e-02
   5.88200e+00   1.28810e+00   5.70000e-02
   6.06100e+00   1.30160e+00   6.90000e-02
   6.13500e+00   1.30900e+00   7.00000e-02
   6.25000e+00   1.31720e+00   6.70000e-02
   6.28900e+00   1.31890e+00   6.50000e-02
   6.32900e+00   1.32040e+00   6.40000e-02
   6.36900e+00   1.32200e+00   6.20000e-02
   6.41000e+00   1.32240e+00   5.90000e-02
   6.45200e+00   1.32150e+00   5.70000e-02
   6.49400e+00   1.32040e+00   5.60000e-02
   6.57900e+00   1.31810e+00   5.50000e-02
   6.66700e+00   1.31710e+00   5.70000e-02
   6.75700e+00   1.31810e+00   5.80000e-02
   6.89700e+00   1.31950e+00   5.70000e-02
   7.04200e+00   1.31930e+00   5.50000e-02
   7.14300e+00   1.31900e+00   5.50000e-02
   7.24600e+00   1.31910e+00   5.40000e-02
   7.35300e+00   1.31800e+00   5.20000e-02
   7.46300e+00   1.31630e+00   5.20000e-02
   7.56700e+00   1.31540e+00   5.20000e-02
   7.69200e+00   1.31540e+00   5.20000e-02
   7.81200e+00   1.31550e+00   5.00000e-02
   7.93700e+00   1.31450e+00   4.70000e-02
   8.06500e+00   1.31190e+00   4.30000e-02
   8.19700e+00   1.30680e+00   3.90000e-02
   8.33300e+00   1.29930e+00   3.70000e-02
   8.47500e+00   1.29250e+00   3.90000e-02
   8.69600e+00   1.28390e+00   4.00000e-02
   8.92900e+00   1.27400e+00   4.20000e-02
   9.09100e+00   1.26720e+00   4.40000e-02
   9.25900e+00   1.25990e+00   4.50000e-02
   9.52400e+00   1.24510e+00   4.60000e-02
   9.80400e+00   1.22240e+00   4.70000e-02
   1.00000e+01   1.19910e+00   5.10000e-02
   1.02000e+01   1.17150e+00   6.50000e-02
   1.03100e+01   1.15530e+00   7.50000e-02
   1.04200e+01   1.13700e+00   8.80000e-02
   1.05300e+01   1.11810e+00   1.08000e-01
   1.06400e+01   1.10130e+00   1.34000e-01
   1.07500e+01   1.09080e+00   1.68000e-01
   1.08700e+01   1.08730e+00   2.04000e-01
   1.10000e+01   1.09250e+00   2.48000e-01
   1.11100e+01   1.10650e+00   2.80000e-01
   1.13600e+01   1.14780e+00   3.41000e-01
   1.16300e+01   1.20200e+00   3.79000e-01
   1.19000e+01   1.25820e+00   4.09000e-01
   1.22000e+01   1.32310e+00   4.22000e-01
   1.25000e+01   1.38570e+00   4.22000e-01
   1.28200e+01   1.44480e+00   4.03000e-01
   1.29900e+01   1.47170e+00   3.89000e-01
   1.31600e+01   1.49620e+00   3.74000e-01
   1.33300e+01   1.51650e+00   3.54000e-01
   1.35100e+01   1.53330e+00   3.35000e-01
   1.37000e+01   1.54900e+00   3.15000e-01
   1.38900e+01   1.56280e+00   2.94000e-01
   1.40800e+01   1.57320e+00   2.71000e-01
   1.42900e+01   1.58030e+00   2.46000e-01
   1.47100e+01   1.57920e+00   1.98000e-01
   1.51500e+01   1.56670e+00   1.64000e-01
   1.53800e+01	 1.55870e+00   1.52000e-01
   1.56300e+01   1.55080e+00   1.42000e-01
   1.61300e+01   1.53810e+00   1.28000e-01
   1.63900e+01   1.53300e+00   1.25000e-01
   1.66700e+01   1.53220e+00   1.23000e-01
   1.69500e+01   1.53340e+00   1.16000e-01
   1.72400e+01   1.53290e+00   1.07000e-01
   1.81800e+01   1.51700e+00   7.90000e-02
   1.88700e+01   1.50100e+00   7.20000e-02
   1.92300e+01   1.49680e+00   7.60000e-02
   1.96100e+01   1.49930e+00   7.50000e-02
   2.00000e+01   1.50150e+00   6.70000e-02
   2.04100e+01   1.49860e+00   5.50000e-02
   2.08300e+01   1.49050e+00   4.50000e-02
   2.22200e+01   1.46070e+00   2.90000e-02
   2.26000e+01   1.45180e+00   2.75000e-02
   2.30500e+01   1.44220e+00   2.70000e-02
   2.34000e+01   1.43160e+00   2.73000e-02
   2.45000e+01   1.41380e+00   2.89000e-02
   2.50000e+01   1.40680e+00   3.00000e-02
   2.60000e+01   1.38950e+00   3.40000e-02
   2.85700e+01   1.34890e+00   5.30000e-02
   3.10000e+01   1.31040e+00   7.55000e-02
   3.33300e+01   1.26420e+00   1.06000e-01
   3.44800e+01   1.23660e+00   1.35000e-01
   3.56400e+01   1.21660e+00   1.76100e-01
   3.70000e+01   1.20230e+00   2.22900e-01
   3.82400e+01   1.19640e+00   2.74600e-01
   3.96000e+01   1.19970e+00   3.28000e-01
   4.11400e+01   1.20860e+00   3.90600e-01
   4.27600e+01   1.22170e+00   4.64200e-01
   4.35800e+01   1.24170e+00   5.24700e-01
   4.45800e+01   1.28180e+00   5.73100e-01
   4.55000e+01   1.32780e+00   6.36200e-01
   4.61500e+01   1.38660e+00   6.83900e-01
   4.67100e+01   1.46490e+00   7.09100e-01
   4.73600e+01   1.55320e+00   6.79000e-01
   4.80000e+01   1.60380e+00   6.25000e-01
   4.87800e+01   1.61880e+00   5.65400e-01
   5.00300e+01   1.62960e+00   5.43300e-01
   5.12800e+01   1.65710e+00   5.29200e-01
   5.27500e+01   1.69810e+00   5.07000e-01
   5.35000e+01   1.72060e+00   4.88300e-01
   5.42400e+01   1.74860e+00   4.70700e-01
   5.50000e+01   1.76740e+00   4.20300e-01
   5.57400e+01   1.76480e+00   3.77100e-01
   5.64000e+01   1.75010e+00   3.37600e-01
   5.70000e+01   1.72330e+00   3.05600e-01
   5.74600e+01   1.68490e+00   2.83500e-01
   5.84000e+01   1.62400e+00   3.17000e-01
   5.92900e+01   1.59600e+00   3.51700e-01
   6.00000e+01   1.58510e+00   3.90200e-01
   6.10000e+01   1.59920e+00   4.50900e-01
   6.12500e+01   1.61400e+00   4.67100e-01
   6.25000e+01   1.66620e+00   4.77900e-01
   6.37800e+01   1.70660e+00   4.89000e-01
   6.46700e+01   1.73710e+00   4.89900e-01
   6.55800e+01   1.76860e+00   4.87300e-01
   6.65500e+01   1.80340e+00   4.76600e-01
   6.76000e+01   1.83300e+00   4.50800e-01
   6.90000e+01   1.85680e+00   4.19300e-01
   7.05300e+01   1.87410e+00   3.88000e-01
   7.30000e+01   1.89110e+00   3.43300e-01
   7.50000e+01   1.89920e+00   3.11800e-01
   7.62900e+01   1.90430e+00   2.93500e-01
   8.00000e+01   1.90330e+00   2.35000e-01
   8.29700e+01   1.88740e+00   1.98100e-01
   8.50000e+01   1.87500e+00   1.86500e-01
   8.68000e+01   1.86700e+00   1.77100e-01
   9.08000e+01   1.85360e+00   1.62000e-01
   9.51700e+01   1.84250e+00   1.49000e-01
   1.00000e+02   1.83230e+00   1.39000e-01
   1.20000e+02   1.81910e+00   1.20000e-01
   1.50000e+02   1.82270e+00   9.62000e-02
   1.67000e+02   1.82960e+00   8.30000e-02
